cluster_1_4,Class,Matching scRNAseq,Color,Notes
0,Oligodendrocytes,,#FF4826,
1,Astrocytes,,#1C0099,
2,Endothelial cells,,#99172E,
3,L2/3 IT CTX Glut,,#925C99,
4,Thal. Glut Neurons,,#66360F,
5,L4/5 IT CTX Glut,,#7B7ACC,
6,Microglia,,#99172E,
7,L6 CT CTX Glut,,#C973FF,
8,VLMC,,#172899,
9,OPC,,#612E66,
10,DG Glut,,#99F2FF,
11,L5/6 IT CTX Glut,,#34661F,
12,Pericytes,,#172899,
13,Inh. Gaba Mixed 1,,#CCB65C,
14,Pvalb Gaba,,#2F992E,
15,L2/3 IT ENT Glut,,#925C99,
16,MEA-COA-BMA Slc17a6 Glut,,#996600,
17,MSN Gaba 1,,#CCA43D,
18,Inh. Gaba Mixed 2,,#e8cc58,
19,MSN Gaba 2,,#967215,
20,Choroid plexus,,#ff0026,invented
21,CA1-ProS Glut,,#940099,
22,Ependymal,,#612E66,
23,STR-PAL-CEA Gaba,,#CCA43D,
24,LA-BLA-BMA-PA Glut,,#662E3F,
25,PH Glut,,#660010,
26,CA3 Glut,,#FFC199,
27,LH Glut 1,,#005B66,
28,L5 ET CTX Glut,,#999145,
29,Car3 Glut,,#0F6632,
30,L6b CTX Glut,,#C973FF,
31,RT ZI Gaba,,#990063,
32,MEA Glut,,#662600,
33,L2/3 IT RSP Glut,,#999145,
34,L5 NP CTX Glut,,#003ECC,
35,ARH-Pvp Gaba,,#3D5566,
36,Missegmented Oligo,,#d5dbdb,
37,STN-PSTN Glut,,#2E9957,
38,LH Glut 2,,#11afc2,
39,Missegmented Oligo,,#d5dbdb,
40,Missegmented Endothelial,,#d5dbdb,
41,ARH Gaba,,#662600,
42,NDB-SI-MA-STRv Gaba,,#9273FF,
43,L4 RSP-ACA Glut,,#999145,
44,HPF CR Glut,,#5C8599,
45,PF Glut,,#995C70,
46,Gpi Gaba-Glut,,#990063,
47,Missegmented Pvalb Gaba,,#d5dbdb,
48,PVH-PVHd-SO Otp Glut,,#660010,
49,PAL-STR Gaba-Chol,,#9273FF,
50,Scsg Gaba,,#6C1799,
51,Noise,,#d5dbdb,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
